Country,Artist,Album,Genre,Release Year,Monthly Listeners (Millions),Total Streams (Millions),Total Hours Streamed (Millions),Avg Stream Duration (Min),Platform Type,Streams Last 30 Days (Millions),Skip Rate (%),reach_cohort,Momentum_Category,Hours per Stream,Engagement_Category
Italy,BTS,Proof,Pop,2023,79.06,1756.77,6967.14,3.76,Premium,27.55,14.74,Superstar (50M+),Background Catalog,3.965880564900357,Loyal Hits
Japan,Doja Cat,Scarlet,Reggaeton,2022,47.0,3492.18,13142.72,4.12,Free,143.49,37.8,Mid-Tier (10–50M),Stable Superstar,3.763471527813572,Polarizing Tracks
India,BTS,Proof,R&B,2023,79.32,4434.66,13885.77,3.12,Premium,197.84,22.18,Superstar (50M+),Stable Superstar,3.1311915682374747,Weak Engagement
Mexico,Taylor Swift,1989 (Taylor's Version),R&B,2020,36.34,3915.17,16567.42,3.16,Free,160.07,18.04,Mid-Tier (10–50M),Stable Superstar,4.2315965845672086,Casual Listening
Spain,Karol G,MAÑANA SERÁ BONITO,Rock,2019,34.56,974.75,3786.06,3.23,Premium,160.43,29.36,Mid-Tier (10–50M),High-Momentum Growth,3.884134393434214,Weak Engagement
Brazil,BLACKPINK,BORN PINK,Classical,2021,55.0,1640.0,4362.63,3.82,Premium,89.74,28.99,Superstar (50M+),Background Catalog,2.660140243902439,Polarizing Tracks
Canada,Karol G,MAÑANA SERÁ BONITO,Rock,2019,45.27,3647.73,15769.92,3.73,Premium,55.64,39.22,Mid-Tier (10–50M),Legacy Decliner,4.323214711615169,Polarizing Tracks
India,Drake,For All The Dogs,EDM,2018,51.8,3762.0,10608.74,2.56,Premium,7.92,3.62,Superstar (50M+),Legacy Decliner,2.819973418394471,Casual Listening
Italy,Olivia Rodrigo,Guts,EDM,2022,4.21,809.52,2752.24,3.24,Premium,152.85,23.38,Emerging (<10M),High-Momentum Growth,3.3998418816088547,Weak Engagement
Indonesia,Olivia Rodrigo,Guts,EDM,2022,65.31,1285.58,3505.64,3.97,Premium,104.03,36.63,Superstar (50M+),High-Momentum Growth,2.7268936977862133,Polarizing Tracks
Germany,BTS,Proof,K-pop,2023,45.18,4982.01,15300.52,4.33,Premium,40.84,6.29,Mid-Tier (10–50M),Legacy Decliner,3.071154012135664,Loyal Hits
Brazil,Dua Lipa,Future Nostalgia,Reggaeton,2023,45.07,484.56,1872.27,4.19,Premium,133.9,28.67,Mid-Tier (10–50M),High-Momentum Growth,3.863855869242199,Polarizing Tracks
South Africa,Ariana Grande,Eternal Sunshine,K-pop,2020,85.28,3573.46,15561.16,3.78,Premium,102.24,5.73,Superstar (50M+),Stable Superstar,4.3546478762879675,Loyal Hits
Australia,Post Malone,Austin,Reggaeton,2019,79.25,180.11,649.84,3.24,Free,122.78,4.36,Superstar (50M+),High-Momentum Growth,3.60801732274721,Casual Listening
South Korea,BLACKPINK,BORN PINK,Rock,2021,41.67,2076.7,7579.54,2.75,Premium,128.83,18.55,Mid-Tier (10–50M),High-Momentum Growth,3.649800163721289,Casual Listening
Indonesia,Olivia Rodrigo,Guts,Reggaeton,2022,64.34,950.72,4214.09,3.37,Free,166.45,21.21,Superstar (50M+),High-Momentum Growth,4.432524823291821,Weak Engagement
South Korea,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Reggaeton,2019,93.54,1166.08,5124.88,3.54,Premium,169.34,10.77,Superstar (50M+),High-Momentum Growth,4.394964324917673,Loyal Hits
South Africa,BTS,Proof,Reggaeton,2023,30.98,2690.72,9431.37,2.84,Free,35.07,25.35,Mid-Tier (10–50M),Background Catalog,3.5051473211631086,Weak Engagement
Argentina,Olivia Rodrigo,Guts,Classical,2022,82.7,190.45,493.44,3.78,Premium,130.57,30.91,Superstar (50M+),High-Momentum Growth,2.5909162509845105,Polarizing Tracks
Netherlands,Ed Sheeran,Autumn Variations,Pop,2019,89.01,2750.61,10407.8,3.1,Free,161.13,27.71,Superstar (50M+),Stable Superstar,3.7838152264406806,Weak Engagement
South Korea,Dua Lipa,Future Nostalgia,Hip Hop,2023,6.93,2226.05,7721.06,2.91,Free,63.2,29.02,Emerging (<10M),Background Catalog,3.468502504436109,Weak Engagement
Italy,BLACKPINK,BORN PINK,Reggaeton,2021,51.98,575.61,1717.32,2.75,Premium,50.34,4.78,Superstar (50M+),Background Catalog,2.9834783968311878,Casual Listening
South Korea,BLACKPINK,BORN PINK,Classical,2021,25.58,4333.27,12217.22,3.15,Premium,38.78,7.21,Mid-Tier (10–50M),Legacy Decliner,2.819399668148996,Casual Listening
Indonesia,Dua Lipa,Future Nostalgia,Rock,2023,50.24,495.74,1629.24,3.41,Free,43.81,14.76,Superstar (50M+),Background Catalog,3.286480816557066,Casual Listening
India,BTS,Proof,Rock,2023,88.35,3288.59,11316.61,3.57,Free,86.75,35.42,Superstar (50M+),Legacy Decliner,3.441173876950304,Polarizing Tracks
Italy,Post Malone,Austin,EDM,2019,5.48,303.23,1098.79,3.23,Premium,15.63,20.67,Emerging (<10M),Background Catalog,3.6236190350558983,Casual Listening
South Africa,BTS,Proof,Classical,2023,61.49,686.88,1850.02,3.25,Premium,112.01,15.26,Superstar (50M+),High-Momentum Growth,2.6933671092476126,Casual Listening
United Kingdom,The Weeknd,After Hours,Classical,2023,40.74,249.26,642.55,3.93,Premium,104.35,6.81,Mid-Tier (10–50M),High-Momentum Growth,2.577830377918639,Loyal Hits
Indonesia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Indie,2019,32.53,1995.13,7447.82,4.19,Premium,101.96,20.88,Mid-Tier (10–50M),High-Momentum Growth,3.732999854646063,Polarizing Tracks
Russia,Karol G,MAÑANA SERÁ BONITO,Classical,2019,48.01,132.35,418.55,2.72,Premium,117.16,32.07,Mid-Tier (10–50M),High-Momentum Growth,3.162448054401209,Weak Engagement
United States,Ed Sheeran,Autumn Variations,Rock,2019,96.74,3925.37,15906.87,3.66,Free,117.12,7.65,Superstar (50M+),Stable Superstar,4.052323729992332,Loyal Hits
Argentina,Post Malone,Austin,EDM,2019,82.34,1248.87,4552.31,3.9,Free,4.77,13.23,Superstar (50M+),Background Catalog,3.645143209461353,Loyal Hits
United Kingdom,BLACKPINK,BORN PINK,R&B,2021,50.68,3076.82,10594.14,4.2,Free,141.45,21.23,Superstar (50M+),Stable Superstar,3.4432108475633934,Polarizing Tracks
South Africa,Olivia Rodrigo,Guts,Rock,2022,38.31,4785.59,16363.5,3.57,Premium,135.5,34.84,Mid-Tier (10–50M),Stable Superstar,3.4193276064184355,Polarizing Tracks
Mexico,Ed Sheeran,Autumn Variations,Rock,2019,95.78,1431.08,4432.05,4.38,Premium,154.46,28.49,Superstar (50M+),High-Momentum Growth,3.0969966738407355,Polarizing Tracks
Russia,Olivia Rodrigo,Guts,Rock,2022,56.49,4675.7,18437.82,3.08,Premium,179.26,16.39,Superstar (50M+),Stable Superstar,3.9433282717026326,Casual Listening
Italy,Post Malone,Austin,Reggaeton,2019,5.16,4778.8,12702.33,4.35,Premium,149.72,9.35,Emerging (<10M),Stable Superstar,2.6580585084121537,Loyal Hits
South Africa,BTS,Proof,Jazz,2023,27.89,590.67,2351.92,2.98,Free,134.3,21.71,Mid-Tier (10–50M),High-Momentum Growth,3.9817833985135525,Weak Engagement
France,Taylor Swift,1989 (Taylor's Version),Hip Hop,2020,33.7,2388.4,9224.92,2.77,Free,81.97,37.47,Mid-Tier (10–50M),Background Catalog,3.8623848601574275,Weak Engagement
Russia,Dua Lipa,Future Nostalgia,R&B,2023,32.8,3247.19,14014.46,2.68,Free,107.5,29.2,Mid-Tier (10–50M),Stable Superstar,4.315873108749411,Weak Engagement
India,SZA,SOS,Reggaeton,2022,88.34,920.15,3992.78,4.49,Premium,157.8,8.27,Superstar (50M+),High-Momentum Growth,4.339270771069934,Loyal Hits
South Korea,SZA,SOS,Pop,2022,30.54,3033.78,13217.91,3.17,Premium,197.83,22.19,Mid-Tier (10–50M),Stable Superstar,4.35691118011194,Weak Engagement
Russia,SZA,SOS,Reggaeton,2022,47.33,1004.42,2737.34,2.82,Premium,130.01,29.03,Mid-Tier (10–50M),High-Momentum Growth,2.725294199637602,Weak Engagement
United States,Karol G,MAÑANA SERÁ BONITO,Indie,2019,57.21,3798.55,10829.63,4.21,Premium,165.57,21.1,Superstar (50M+),Stable Superstar,2.8509905095365338,Polarizing Tracks
Brazil,BLACKPINK,BORN PINK,Hip Hop,2021,98.19,2413.4,10550.54,2.51,Premium,47.87,30.4,Superstar (50M+),Background Catalog,4.371649954421149,Weak Engagement
Japan,BTS,Proof,Classical,2023,57.71,1344.69,4328.7,2.97,Free,93.61,7.23,Superstar (50M+),Background Catalog,3.2191062624099236,Casual Listening
Indonesia,SZA,SOS,K-pop,2022,12.62,4584.85,14167.53,3.73,Free,191.51,19.65,Mid-Tier (10–50M),Stable Superstar,3.0900749206626172,Loyal Hits
Sweden,Karol G,MAÑANA SERÁ BONITO,Classical,2019,42.17,2768.71,9528.95,3.58,Free,152.61,27.53,Mid-Tier (10–50M),Stable Superstar,3.441656944931033,Polarizing Tracks
Argentina,Doja Cat,Scarlet,Hip Hop,2022,45.23,3533.64,9386.07,3.63,Free,165.93,36.21,Mid-Tier (10–50M),Stable Superstar,2.6562043671681326,Polarizing Tracks
Australia,Ed Sheeran,Autumn Variations,Jazz,2019,17.29,4279.71,14481.17,3.86,Premium,19.1,20.9,Mid-Tier (10–50M),Legacy Decliner,3.383680202630552,Polarizing Tracks
India,Dua Lipa,Future Nostalgia,Reggaeton,2023,42.13,2841.36,10278.89,3.85,Premium,144.93,16.44,Mid-Tier (10–50M),Stable Superstar,3.617595095306473,Loyal Hits
United States,Karol G,MAÑANA SERÁ BONITO,R&B,2019,8.23,2147.3,8376.12,3.58,Free,186.98,3.69,Emerging (<10M),High-Momentum Growth,3.9007684068364923,Loyal Hits
Russia,Taylor Swift,1989 (Taylor's Version),K-pop,2020,18.82,720.37,2725.2,3.96,Premium,75.52,35.76,Mid-Tier (10–50M),Background Catalog,3.7830559295917374,Polarizing Tracks
Sweden,Doja Cat,Scarlet,EDM,2022,8.94,4822.51,20491.36,2.77,Premium,24.61,39.72,Emerging (<10M),Legacy Decliner,4.2491067929356285,Weak Engagement
Spain,Ariana Grande,Eternal Sunshine,Reggaeton,2020,97.89,4182.37,16781.17,4.46,Premium,135.03,22.23,Superstar (50M+),Stable Superstar,4.012359021320447,Polarizing Tracks
South Africa,BLACKPINK,BORN PINK,R&B,2021,46.6,817.85,2352.92,4.25,Free,7.41,26.75,Mid-Tier (10–50M),Background Catalog,2.876957877361374,Polarizing Tracks
Argentina,Post Malone,Austin,Pop,2019,21.4,549.44,1410.5,3.7,Free,49.7,2.73,Mid-Tier (10–50M),Background Catalog,2.5671592894583575,Loyal Hits
Sweden,The Weeknd,After Hours,Jazz,2023,75.68,3891.51,10819.45,4.49,Free,163.34,29.53,Superstar (50M+),Stable Superstar,2.780270383475823,Polarizing Tracks
Japan,Ed Sheeran,Autumn Variations,Classical,2019,82.02,1222.67,5199.42,4.47,Free,83.3,11.73,Superstar (50M+),Background Catalog,4.252512942985433,Loyal Hits
South Africa,Ed Sheeran,Autumn Variations,Reggaeton,2019,68.2,2801.46,7266.34,3.19,Premium,157.38,13.43,Superstar (50M+),Stable Superstar,2.5937689633262657,Casual Listening
Netherlands,BLACKPINK,BORN PINK,Reggaeton,2021,38.27,3784.36,13044.83,4.2,Premium,171.65,6.63,Mid-Tier (10–50M),Stable Superstar,3.447037279751398,Loyal Hits
Sweden,SZA,SOS,Pop,2022,41.86,2111.71,7517.65,3.28,Premium,41.46,26.22,Mid-Tier (10–50M),Background Catalog,3.5599821945248165,Weak Engagement
Sweden,Doja Cat,Scarlet,Indie,2022,54.03,4155.56,10817.23,3.25,Free,174.85,8.34,Superstar (50M+),Stable Superstar,2.6030739539315997,Casual Listening
Turkey,Karol G,MAÑANA SERÁ BONITO,Jazz,2019,48.46,4353.9,13784.14,4.41,Free,43.15,8.41,Mid-Tier (10–50M),Legacy Decliner,3.1659293966329036,Loyal Hits
Germany,Karol G,MAÑANA SERÁ BONITO,Rock,2019,69.87,3533.65,11637.24,2.98,Premium,155.33,15.85,Superstar (50M+),Stable Superstar,3.293263339606356,Casual Listening
South Africa,Billie Eilish,Happier Than Ever,Indie,2019,26.89,2588.44,9045.44,2.7,Premium,152.56,13.49,Mid-Tier (10–50M),High-Momentum Growth,3.4945527035589,Casual Listening
Australia,Olivia Rodrigo,Guts,Indie,2022,5.53,4327.22,17233.17,2.53,Premium,59.74,8.65,Emerging (<10M),Legacy Decliner,3.982503778407384,Casual Listening
France,BLACKPINK,BORN PINK,Classical,2021,50.43,3290.31,12732.49,3.01,Premium,193.34,26.03,Superstar (50M+),Stable Superstar,3.8696931292188275,Weak Engagement
Russia,Dua Lipa,Future Nostalgia,Reggaeton,2023,79.7,887.87,3498.76,3.48,Free,105.26,33.72,Superstar (50M+),High-Momentum Growth,3.9406219378963137,Weak Engagement
Brazil,Doja Cat,Scarlet,Pop,2022,41.83,4220.6,12505.08,3.91,Free,44.53,18.78,Mid-Tier (10–50M),Legacy Decliner,2.9628678386959195,Loyal Hits
India,Ed Sheeran,Autumn Variations,Classical,2019,66.27,127.87,455.78,3.32,Free,106.35,11.71,Superstar (50M+),High-Momentum Growth,3.5644013451161336,Casual Listening
South Korea,Taylor Swift,1989 (Taylor's Version),Jazz,2020,67.73,4040.53,17453.26,2.71,Free,105.35,10.4,Superstar (50M+),Stable Superstar,4.3195471881164105,Casual Listening
Argentina,Ariana Grande,Eternal Sunshine,K-pop,2020,27.47,2014.64,6539.73,3.31,Free,198.06,9.81,Mid-Tier (10–50M),High-Momentum Growth,3.2461035222173686,Casual Listening
Brazil,Billie Eilish,Happier Than Ever,Pop,2019,41.12,1916.99,6617.47,3.77,Free,17.45,33.97,Mid-Tier (10–50M),Background Catalog,3.4520107042811907,Polarizing Tracks
Japan,Ed Sheeran,Autumn Variations,Hip Hop,2019,92.0,1187.34,5108.58,3.88,Premium,54.95,37.04,Superstar (50M+),Background Catalog,4.302541816160494,Polarizing Tracks
Mexico,SZA,SOS,Jazz,2022,66.15,937.8,3939.56,2.53,Free,117.82,30.34,Superstar (50M+),High-Momentum Growth,4.20085306035402,Weak Engagement
Spain,SZA,SOS,Hip Hop,2022,17.08,1240.34,5171.35,3.28,Premium,77.39,29.85,Mid-Tier (10–50M),Background Catalog,4.169300353128981,Weak Engagement
Brazil,Ariana Grande,Eternal Sunshine,Indie,2020,10.67,1199.11,3180.08,3.71,Premium,193.82,13.73,Mid-Tier (10–50M),High-Momentum Growth,2.6520335915804223,Loyal Hits
Mexico,Post Malone,Austin,Rock,2019,23.59,2787.54,9061.89,2.87,Premium,18.05,25.13,Mid-Tier (10–50M),Legacy Decliner,3.2508555931035965,Weak Engagement
France,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2019,27.53,1931.0,7854.88,2.81,Premium,64.02,5.16,Mid-Tier (10–50M),Background Catalog,4.067778353184878,Casual Listening
United States,BTS,Proof,Rock,2023,76.37,556.05,1487.21,3.36,Premium,21.56,4.5,Superstar (50M+),Background Catalog,2.6745976081287655,Casual Listening
South Africa,Drake,For All The Dogs,Classical,2018,78.66,4325.4,10920.26,3.33,Free,145.24,22.82,Superstar (50M+),Stable Superstar,2.5246821103250565,Weak Engagement
France,Ed Sheeran,Autumn Variations,Jazz,2019,68.85,889.03,2700.73,3.04,Free,13.59,17.95,Superstar (50M+),Background Catalog,3.037838993059852,Casual Listening
Netherlands,BTS,Proof,Rock,2023,36.75,4723.9,18620.66,3.49,Free,92.11,6.28,Mid-Tier (10–50M),Legacy Decliner,3.9417980905607655,Casual Listening
United States,BLACKPINK,BORN PINK,Indie,2021,38.61,4317.88,14596.36,3.36,Free,60.79,24.53,Mid-Tier (10–50M),Legacy Decliner,3.380445959591281,Weak Engagement
Australia,Dua Lipa,Future Nostalgia,Indie,2023,96.49,4845.19,14937.22,3.89,Premium,193.58,31.5,Superstar (50M+),Stable Superstar,3.0828966459519647,Polarizing Tracks
Japan,BLACKPINK,BORN PINK,K-pop,2021,37.14,4663.73,13522.95,4.49,Free,136.66,22.45,Mid-Tier (10–50M),Stable Superstar,2.899599676653666,Polarizing Tracks
Sweden,Karol G,MAÑANA SERÁ BONITO,R&B,2019,79.97,4164.84,10988.17,4.2,Premium,134.92,6.43,Superstar (50M+),Stable Superstar,2.6383174383649792,Loyal Hits
South Korea,The Weeknd,After Hours,K-pop,2023,16.26,2144.48,6978.1,3.4,Premium,116.87,21.84,Mid-Tier (10–50M),High-Momentum Growth,3.2539823173916287,Weak Engagement
Netherlands,Ariana Grande,Eternal Sunshine,Pop,2020,70.46,4070.87,15011.9,4.33,Free,154.02,26.65,Superstar (50M+),Stable Superstar,3.6876392515604772,Polarizing Tracks
Italy,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2019,56.76,3242.9,12301.9,4.43,Premium,193.18,17.79,Superstar (50M+),Stable Superstar,3.7934873107403866,Loyal Hits
United States,Drake,For All The Dogs,K-pop,2018,51.56,2618.05,9584.78,3.65,Premium,75.45,19.06,Superstar (50M+),Background Catalog,3.6610377953056665,Loyal Hits
Turkey,Karol G,MAÑANA SERÁ BONITO,Jazz,2019,35.15,171.59,464.85,3.33,Free,24.1,37.69,Mid-Tier (10–50M),Background Catalog,2.7090739553587038,Weak Engagement
United Kingdom,Olivia Rodrigo,Guts,K-pop,2022,46.08,1073.99,3722.29,3.45,Premium,144.68,18.65,Mid-Tier (10–50M),High-Momentum Growth,3.465851637352303,Casual Listening
Brazil,BTS,Proof,Pop,2023,12.39,4253.44,16145.8,3.85,Free,186.05,29.88,Mid-Tier (10–50M),Stable Superstar,3.7959392867890465,Polarizing Tracks
Indonesia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2019,33.77,2160.53,7397.89,4.1,Free,38.09,26.64,Mid-Tier (10–50M),Background Catalog,3.4241088992052875,Polarizing Tracks
Spain,Taylor Swift,1989 (Taylor's Version),Classical,2020,45.51,2176.29,5460.09,2.93,Premium,150.71,32.54,Mid-Tier (10–50M),High-Momentum Growth,2.5088981707401126,Weak Engagement
Brazil,Ed Sheeran,Autumn Variations,Hip Hop,2019,19.51,1663.63,5681.46,3.02,Premium,106.02,25.93,Mid-Tier (10–50M),High-Momentum Growth,3.415098309119215,Weak Engagement
Argentina,BLACKPINK,BORN PINK,Classical,2021,59.11,1772.23,7427.48,3.73,Premium,183.82,24.02,Superstar (50M+),High-Momentum Growth,4.191036152192435,Polarizing Tracks
United Kingdom,Olivia Rodrigo,Guts,Hip Hop,2022,31.23,956.07,3716.12,3.52,Premium,119.69,23.42,Mid-Tier (10–50M),High-Momentum Growth,3.88687020824835,Weak Engagement
Netherlands,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Rock,2019,54.2,4599.85,20061.74,2.85,Free,98.44,6.47,Superstar (50M+),Legacy Decliner,4.361390045327565,Casual Listening
Japan,Doja Cat,Scarlet,Rock,2022,6.31,1827.24,4603.12,2.77,Premium,192.8,20.71,Emerging (<10M),High-Momentum Growth,2.5191655173923513,Casual Listening
Russia,BLACKPINK,BORN PINK,Rock,2021,71.3,2247.07,6369.34,3.63,Free,59.13,11.72,Superstar (50M+),Background Catalog,2.8345089383063278,Loyal Hits
South Africa,BTS,Proof,Reggaeton,2023,57.0,3874.11,13523.07,3.52,Free,54.31,22.18,Superstar (50M+),Legacy Decliner,3.490626234154425,Weak Engagement
Italy,Ariana Grande,Eternal Sunshine,Pop,2020,44.7,1131.78,3791.81,3.97,Free,60.24,39.97,Mid-Tier (10–50M),Background Catalog,3.3503065966884025,Polarizing Tracks
Sweden,BTS,Proof,Indie,2023,44.47,4970.09,20135.14,2.97,Premium,172.35,24.8,Mid-Tier (10–50M),Stable Superstar,4.051262653191391,Weak Engagement
Netherlands,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2019,78.7,4076.97,16759.94,3.64,Premium,119.77,7.57,Superstar (50M+),Stable Superstar,4.110881365327682,Loyal Hits
South Korea,BTS,Proof,Classical,2023,95.29,2596.35,11165.11,4.13,Free,192.59,31.64,Superstar (50M+),High-Momentum Growth,4.300310050648025,Polarizing Tracks
India,BTS,Proof,Reggaeton,2023,86.74,1285.9,5044.32,4.16,Premium,98.4,23.52,Superstar (50M+),Background Catalog,3.9227933742903804,Polarizing Tracks
Mexico,Billie Eilish,Happier Than Ever,EDM,2019,45.75,3186.46,13575.12,2.69,Premium,139.25,35.22,Mid-Tier (10–50M),Stable Superstar,4.260251187838541,Weak Engagement
Sweden,Dua Lipa,Future Nostalgia,Indie,2023,1.24,3881.97,15393.75,3.96,Premium,127.33,28.19,Emerging (<10M),Stable Superstar,3.965447955548343,Polarizing Tracks
Brazil,Post Malone,Austin,Jazz,2019,22.57,2176.73,6364.11,3.04,Premium,68.21,23.54,Mid-Tier (10–50M),Background Catalog,2.9237020668617606,Weak Engagement
Turkey,Doja Cat,Scarlet,Rock,2022,89.52,3823.16,9909.19,3.75,Premium,4.24,37.25,Superstar (50M+),Legacy Decliner,2.59188472363176,Polarizing Tracks
Canada,Dua Lipa,Future Nostalgia,Rock,2023,99.19,2167.61,9735.58,4.32,Premium,32.64,37.38,Superstar (50M+),Background Catalog,4.491389133654117,Polarizing Tracks
Mexico,Drake,For All The Dogs,Indie,2018,9.16,3339.32,12682.14,2.6,Premium,145.47,30.45,Emerging (<10M),Stable Superstar,3.797821113280548,Weak Engagement
Netherlands,Billie Eilish,Happier Than Ever,Hip Hop,2019,10.42,1106.43,2938.54,3.69,Premium,2.85,28.13,Mid-Tier (10–50M),Background Catalog,2.6558752022269823,Polarizing Tracks
Germany,Doja Cat,Scarlet,EDM,2022,14.09,400.6,1308.42,3.96,Free,21.54,15.33,Mid-Tier (10–50M),Background Catalog,3.2661507738392412,Loyal Hits
South Korea,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2019,64.52,3401.83,8970.02,3.63,Free,88.58,29.17,Superstar (50M+),Legacy Decliner,2.636821945835036,Polarizing Tracks
United Kingdom,SZA,SOS,EDM,2022,68.97,4306.81,11513.72,2.7,Free,118.33,15.98,Superstar (50M+),Stable Superstar,2.6733754217158405,Casual Listening
Netherlands,Olivia Rodrigo,Guts,Reggaeton,2022,28.42,467.03,1684.48,3.7,Premium,156.01,27.93,Mid-Tier (10–50M),High-Momentum Growth,3.6067918549129607,Polarizing Tracks
South Korea,The Weeknd,After Hours,Jazz,2023,51.44,3751.83,11597.22,2.61,Free,99.48,5.4,Superstar (50M+),Legacy Decliner,3.091083551227001,Casual Listening
Russia,Billie Eilish,Happier Than Ever,Classical,2019,53.3,4889.6,21874.92,4.37,Free,77.98,33.72,Superstar (50M+),Legacy Decliner,4.47376472513089,Polarizing Tracks
Netherlands,Olivia Rodrigo,Guts,Jazz,2022,18.1,2381.52,10656.67,2.65,Free,3.74,9.41,Mid-Tier (10–50M),Background Catalog,4.474734623265814,Casual Listening
India,Post Malone,Austin,EDM,2019,29.36,3577.51,14432.46,3.35,Premium,17.4,21.93,Mid-Tier (10–50M),Legacy Decliner,4.034219331322624,Weak Engagement
Argentina,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2019,31.68,2580.96,7501.29,4.12,Premium,78.76,25.74,Mid-Tier (10–50M),Background Catalog,2.9063952947740375,Polarizing Tracks
Brazil,BTS,Proof,EDM,2023,95.39,1231.26,3680.19,4.35,Free,91.22,24.74,Superstar (50M+),Background Catalog,2.988962526192681,Polarizing Tracks
South Korea,Billie Eilish,Happier Than Ever,Reggaeton,2019,2.25,729.2,1839.55,3.49,Premium,105.08,31.54,Emerging (<10M),High-Momentum Growth,2.5226961053209,Weak Engagement
Mexico,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Indie,2019,75.23,4373.63,17345.26,2.74,Free,67.67,17.74,Superstar (50M+),Legacy Decliner,3.9658727418643096,Casual Listening
Indonesia,Drake,For All The Dogs,K-pop,2018,97.53,3156.29,11022.7,3.52,Free,100.42,23.11,Superstar (50M+),Legacy Decliner,3.4922963352543652,Weak Engagement
Italy,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2019,89.53,3386.9,9248.5,3.98,Free,9.76,34.65,Superstar (50M+),Legacy Decliner,2.7306681626265905,Polarizing Tracks
France,Taylor Swift,1989 (Taylor's Version),Rock,2020,38.91,792.92,3458.97,4.21,Premium,45.68,10.68,Mid-Tier (10–50M),Background Catalog,4.362319023356707,Loyal Hits
Japan,BTS,Proof,Hip Hop,2023,37.91,2535.1,10910.77,2.86,Free,190.86,3.69,Mid-Tier (10–50M),High-Momentum Growth,4.303881503688218,Casual Listening
Sweden,Doja Cat,Scarlet,K-pop,2022,33.4,2787.8,7013.93,2.9,Premium,148.18,10.46,Mid-Tier (10–50M),Stable Superstar,2.5159372982279935,Casual Listening
Italy,Ed Sheeran,Autumn Variations,Rock,2019,73.51,2755.47,11275.24,2.8,Premium,5.76,22.12,Superstar (50M+),Legacy Decliner,4.09194801612792,Weak Engagement
United States,Olivia Rodrigo,Guts,Pop,2022,38.25,3703.51,11536.51,2.91,Free,84.54,38.49,Mid-Tier (10–50M),Legacy Decliner,3.1150206155781945,Weak Engagement
United Kingdom,Karol G,MAÑANA SERÁ BONITO,K-pop,2019,5.35,1195.79,5011.57,3.33,Premium,92.23,30.17,Emerging (<10M),Background Catalog,4.191011799730722,Weak Engagement
Turkey,Drake,For All The Dogs,Jazz,2018,64.08,2002.04,7375.1,2.62,Free,48.12,11.18,Superstar (50M+),Background Catalog,3.6837925316177498,Casual Listening
Japan,SZA,SOS,EDM,2022,83.36,1664.95,5670.01,2.97,Free,28.09,31.04,Superstar (50M+),Background Catalog,3.405513679089462,Weak Engagement
Germany,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Hip Hop,2019,45.51,1604.46,4398.58,3.22,Free,90.93,19.07,Mid-Tier (10–50M),Background Catalog,2.74147065056156,Casual Listening
Germany,Drake,For All The Dogs,Reggaeton,2018,31.12,3538.29,13115.04,2.93,Premium,30.52,28.74,Mid-Tier (10–50M),Legacy Decliner,3.7066040375435594,Weak Engagement
Italy,BLACKPINK,BORN PINK,Jazz,2021,68.04,1337.83,5995.29,2.56,Premium,171.07,22.68,Superstar (50M+),High-Momentum Growth,4.481354133185831,Weak Engagement
South Africa,The Weeknd,After Hours,Hip Hop,2023,11.09,3979.36,10915.01,2.62,Free,27.01,33.12,Mid-Tier (10–50M),Legacy Decliner,2.7429058944151823,Weak Engagement
Italy,Billie Eilish,Happier Than Ever,Hip Hop,2019,59.03,4591.27,12166.75,4.49,Free,180.6,18.29,Superstar (50M+),Stable Superstar,2.6499748435618034,Loyal Hits
United Kingdom,Drake,For All The Dogs,Indie,2018,5.23,2331.92,6613.27,3.65,Premium,99.73,15.93,Emerging (<10M),Background Catalog,2.835976362825483,Loyal Hits
Netherlands,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Indie,2019,90.92,1411.16,4786.69,2.8,Free,129.81,20.46,Superstar (50M+),High-Momentum Growth,3.392025000708637,Casual Listening
South Africa,Dua Lipa,Future Nostalgia,Pop,2023,28.7,729.32,2114.24,4.27,Free,126.52,32.28,Mid-Tier (10–50M),High-Momentum Growth,2.898919541490703,Polarizing Tracks
United States,BLACKPINK,BORN PINK,Indie,2021,54.91,2449.16,10593.48,3.5,Premium,54.82,2.02,Superstar (50M+),Background Catalog,4.325352365709059,Casual Listening
Argentina,The Weeknd,After Hours,Pop,2023,6.8,4958.08,17645.14,4.03,Free,194.82,4.91,Emerging (<10M),Stable Superstar,3.558865528591713,Loyal Hits
